salloc -N 2 --ntasks-per-node=1

task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 485  1566989656.43514967  1566989656.43515229  0.00000262
 486  1566989656.43515444  1566989656.43515706  0.00000262
 487  1566989656.43515921  1566989656.43516183  0.00000262
 488  1566989656.43516397  1566989656.43516636  0.00000238
 489  1566989656.43516874  1566989656.43517113  0.00000238
 490  1566989656.43517327  1566989656.43517590  0.00000262
 491  1566989656.43517804  1566989656.43518090  0.00000286
 492  1566989656.43518305  1566989656.43518543  0.00000238
 493  1566989656.43518782  1566989656.43519020  0.00000238
 494  1566989656.43519258  1566989656.43519497  0.00000238
 495  1566989656.43519735  1566989656.43519974  0.00000238
 496  1566989656.43520188  1566989656.43520451  0.00000262
 497  1566989656.43520689  1566989656.43520927  0.00000238
 498  1566989656.43521142  1566989656.43521380  0.00000238
 499  1566989656.43521619  1566989656.43521857  0.00000238
 500  1566989656.43522096  1566989656.43522334  0.00000238
 501  1566989656.43522573  1566989656.43522811  0.00000238
 502  1566989656.43523049  1566989656.43523288  0.00000238
